Designator,Mid X,Mid Y,Rotation,Layer
C1,159.8,-58.6,0.0,bottom
C10,171.0,-66.75,0.0,bottom
C11,182.271644,-68.9,180.0,bottom
C12,171.0,-72.3,0.0,bottom
C13,182.271644,-72.5,180.0,bottom
C14,176.251644,-77.45,270.0,bottom
C15,171.0,-68.8,0.0,bottom
C16,171.0,-67.75,0.0,bottom
C17,175.7,-48.4,180.0,bottom
C18,187.9,-47.8,270.0,bottom
C19,173.7,-48.4,180.0,bottom
C2,178.9,-78.7,0.0,bottom
C20,189.5,-47.8,90.0,bottom
C3,175.671644,-80.8,270.0,bottom
C4,164.3,-62.62,270.0,bottom
C5,182.2,-62.8,270.0,bottom
C6,173.4,-64.8,90.0,bottom
C7,175.221644,-77.45,270.0,bottom
C8,177.9,-64.85,90.0,bottom
C9,176.5,-64.8,90.0,bottom
D1,176.54,-143.44,0.0,top
D12,74.6,-67.52,0.0,top
D13,164.71,-109.97,0.0,top
D14,138.1,-98.86,0.0,top
D15,109.25,-98.86,0.0,top
D16,80.04,-98.86,0.0,top
D2,249.735,-78.87,0.0,top
D3,220.64,-78.99,0.0,top
D4,194.04,-90.34,0.0,top
D5,159.1,-78.93,0.0,top
D6,132.54,-67.4,0.0,top
D7,103.57,-67.28,0.0,top
DS1,181.29,-52.425,0.0,bottom
R1,194.05,-62.4,180.0,bottom
R15,186.5,-48.3,270.0,bottom
R16,182.6,-48.3,270.0,bottom
R17,183.6,-48.31,270.0,bottom
R2,194.1,-61.3,0.0,bottom
R3,175.5,-64.8,270.0,bottom
R4,174.42,-64.8,270.0,bottom
R5,177.271644,-78.3,90.0,bottom
R6,160.2,-49.1,270.0,top
R7,163.3,-49.0,270.0,top
SW1,248.94,-54.0,90.0,top
SW19,139.0,-47.7,90.0,top
SW2,238.94,-54.0,90.0,top
SW3,228.94,-54.0,90.0,top
SW4,218.94,-54.0,90.0,top
SW5,208.94,-54.0,90.0,top
SW6,198.94,-54.0,90.0,top
U1,161.55,-61.0,0.0,bottom
U2,188.0,-64.25,270.0,bottom
U3,176.821644,-71.55,0.0,bottom
USB1,161.94,-38.7,180.0,top
Y1,178.371644,-81.2,0.0,bottom
